"","1","2","3","4","5","6","7"
"1",1,NA,1,1,1,1,NA
"2",2,1,2,1,NA,NA,NA
"3",1,1,1,1,NA,1,2
"4",1,NA,1,1,NA,NA,2
"5",1,NA,1,1,NA,NA,2
"6",2,NA,1,1,1,1,2
"7",1,1,1,1,NA,NA,1
"8",1,NA,1,NA,1,1,NA
"9",1,1,1,NA,NA,NA,2
"10",2,2,NA,1,NA,1,NA
"11",1,1,1,NA,1,1,NA
"12",1,1,1,1,NA,NA,NA
"13",1,NA,NA,1,1,1,NA
"14",1,1,1,1,NA,NA,NA
"15",1,1,1,1,NA,NA,2
"16",1,1,1,1,NA,NA,NA
"17",1,2,2,1,1,NA,2
"18",2,1,2,1,NA,NA,NA
"19",1,1,2,1,NA,NA,NA
"20",1,NA,2,NA,2,1,2
"21",1,1,1,1,NA,NA,2
"22",2,2,2,1,2,1,2
"23",1,1,NA,1,NA,NA,2
"24",2,2,2,2,NA,NA,1
"25",1,1,2,NA,2,1,1
"26",2,2,2,1,1,1,NA
"27",1,1,1,NA,NA,NA,2
"28",1,1,1,NA,1,1,2
"29",1,1,NA,NA,1,1,2
"30",1,1,1,1,NA,NA,2
"31",1,NA,2,1,NA,NA,2
"32",1,1,1,2,2,NA,2
"33",1,NA,1,1,NA,NA,1
"34",1,NA,1,1,NA,NA,2
"35",1,1,NA,1,1,1,2
"36",1,1,NA,NA,1,1,2
"37",1,1,1,1,1,1,NA
"38",2,NA,2,1,NA,NA,2
"39",1,1,2,NA,1,1,2
"40",2,2,1,1,2,1,2
"41",1,1,1,1,NA,NA,NA
"42",2,2,2,NA,1,1,2
"43",1,1,2,1,2,1,NA
"44",1,1,1,1,1,1,NA
"45",1,NA,1,1,NA,NA,2
"46",1,1,NA,1,1,1,NA
"47",1,1,1,1,2,1,2
"48",1,1,1,1,1,1,NA
"49",1,1,2,1,NA,NA,NA
"50",2,2,2,1,2,1,2
"51",1,1,2,1,NA,NA,NA
"52",1,1,1,NA,1,1,NA
"53",2,2,2,1,2,1,2
"54",1,1,1,1,NA,NA,NA
"55",1,1,1,1,NA,NA,NA
"56",1,1,1,1,NA,NA,NA
"57",1,1,1,1,1,1,2
"58",1,1,1,1,1,1,NA
"59",NA,2,1,1,1,1,2
"60",NA,1,1,NA,1,1,NA
"61",NA,1,1,1,NA,NA,1
"62",NA,1,NA,1,1,1,2
"63",NA,2,2,1,NA,NA,2
"64",NA,1,2,1,2,1,NA
"65",NA,NA,1,1,1,1,2
"66",NA,NA,1,1,1,1,NA
"67",NA,NA,NA,1,1,1,2
"68",NA,NA,NA,1,1,1,2
"69",NA,NA,NA,1,1,1,2
